The top 20 word positively correlated with rating: 
('easy', 11.972457252589694, 3.713510371042281e-39)
('great', 1.8814738930621766, 1.891007305954031e-24)
('and', 6.087862365595136, 2.214294191017388e-24)
('years', 11.558127273917954, 2.3786059422859742e-17)
('very', 4.238317518980934, 4.6783353946344154e-14)
('highly', 19.768567084395137, 2.6466847784236243e-12)
('as', 2.8048613693377638, 4.143425641907805e-12)
('using', 12.683449210877262, 1.3537530258158095e-11)
('works', 2.111911792809063, 1.4333746777735466e-11)
('port', 63.36454470389225, 1.668039016721953e-11)
('usb', 34.5574391633381, 2.27325844979162e-11)
('price', 6.140399778650682, 1.832084588535434e-10)
('been', 11.571222731916874, 3.935994307047062e-10)
('power', 29.902919824101858, 2.1368625730839465e-09)
('use', 5.239417052718054, 5.402490705878958e-09)
('best', 7.481040006040179, 5.6102211154395474e-09)
('for', 4.156934482075908, 4.932224639751043e-08)
('wireless', 45.444767982387845, 1.153575949733547e-07)
("i've", 14.114256615625592, 2.393775000969357e-07)
('can', 11.313433323003474, 2.8358151073277914e-07)

The top 20 word negatively correlated  with rating: 
('not', -10.895898859503356, 7.148861716088864e-84)
('they', -23.624476782007296, 2.1987443644145156e-33)
('support', -35.643162107635696, 4.053211211526397e-32)
('intuit', -50.05943814701806, 2.4668586415860826e-26)
('that', -12.430238271883313, 4.2904123351136036e-26)
('error', -100.67280352686663, 1.304645148075788e-25)
('trying', -59.51320076208292, 4.720976264935617e-22)
('their', -32.627878929377204, 1.2905869457162208e-21)
('vista', -34.6664727982249, 9.624534493989394e-21)
('crashes', -89.61627281226694, 6.136284502191618e-20)
('uninstall', -101.84999871089866, 6.944463624826515e-20)
('back', -34.89068912238568, 4.5367226789335186e-18)
("won't", -43.345475165275964, 8.594196253474224e-18)
('if', -17.02601006144679, 5.1625773705125996e-17)
('off', -39.046035335769595, 6.821565104287976e-17)
('message', -116.79734096583218, 1.5759006889110005e-16)
('hours', -70.54169207609847, 2.2842627241682653e-16)
('told', -104.54669487491418, 2.3710543761753283e-16)
('fix', -64.95448981407621, 6.428947021720132e-16)
('pay', -41.53852786154722, 1.8460317417097734e-15)

The top 20 words positively related to rating, controlling for verified: 
('and', 9.698908343125368e-13, 0.0)
('for', 7.283063041541027e-13, 0.0)
('that', 1.0444978215673473e-12, 0.0)
('with', 7.904787935331115e-14, 0.0)
('but', 1.4050982599655981e-12, 0.0)
('not', 1.6986412276764895e-13, 0.0)
('be', 8.100187187665142e-13, 0.0)
('are', 4.636291350834654e-12, 0.0)
('can', 6.785683126508957e-13, 0.0)
('use', 6.341593916658894e-13, 0.0)
('windows', 5.122124946410622e-12, 0.0)
('an', 1.2654766123887384e-11, 0.0)
('do', 5.293099292202896e-12, 0.0)
('version', 2.2879476091475226e-12, 0.0)
('when', 1.3657963648938676e-12, 0.0)
('very', 7.549516567451064e-14, 0.0)
('time', 4.274136600201928e-12, 0.0)
('which', 6.709299782414746e-12, 0.0)
('computer', 7.673861546209082e-13, 0.0)
('new', 1.149302875091962e-12, 0.0)

The top 20 words negatively related to rating, controlling for verified: 
('.', -6.661338147750939e-15, 0.0)
('"', -4.991562718714704e-13, 0.0)
('if', -3.1175062531474396e-12, 0.0)
('or', -3.1086244689504383e-12, 0.0)
('from', -1.0677680961634906e-11, 0.0)
('me', -3.467448550509289e-12, 0.0)
('there', -1.3926637620897964e-12, 0.0)
('had', -2.0232704400768853e-12, 0.0)
('get', -1.435851437747715e-12, 0.0)
('would', -1.2798651027878805e-12, 0.0)
('out', -4.121147867408581e-12, 0.0)
('also', -7.87636622590071e-12, 0.0)
('using', -1.7177370637000422e-12, 0.0)
('about', -9.78772618509538e-13, 0.0)
("don't", -5.592193375036913e-13, 0.0)
('any', -7.750244890303293e-12, 0.0)
('need', -9.897860309138196e-12, 0.0)
('even', -5.905498312586133e-12, 0.0)
('?', -1.120881165661558e-12, 0.0)
('want', -3.3146818623208674e-12, 0.0)


